From	To	
P08913   ADRA2A	
P09038   FGF2	
P09237   MMP7	
P09326   CD48	
P09382   LGALS1	
P09429   HMGB1	
P09466   PAEP	
P09486   SPARC	
P09529   INHBB	
P09564   CD7	
P09603   CSF1	
P09619   PDGFRB	
P09668   CTSH	
P09758   TACSTD2	
P09871   C1S	
P09923   ALPI	
P0C0L4   C4A	
P0C0L5   C4B	
P0C0L5   C4B_2	
P0DJI9   SAA2	
P10082   PYY	
P10124   SRGN	
P10145   CXCL8	
P10275   AR	
P10276   RARA	
P10451   SPP1	
P10586   PTPRF	
P10589   NR2F1	
P10643   C7	
P10646   TFPI	
P10696   ALPG	
P10720   PF4V1	
P10747   CD28	
